Day,Strain,Pathlength,Line
2,25183,5.416,335
2,25183,7.772,335
2,25183,7.306,335
2,25183,8.912,335
2,25183,7.908,335
2,25183,6.594,335
2,25183,6.212,335
2,25183,5.6,335
2,25183,6.34,335
2,25183,9.2,335
2,25183,7.744,335
3,25183,6.284,335
3,25183,6.646,335
3,25183,8.086,335
3,25183,6.96,335
3,25183,5.38,335
3,25183,7.01,335
3,25183,6.23,335
3,25183,4.56,335
3,25183,4.138,335
3,25183,7.376,335
3,25183,5.906,335
3,25183,7.024,335
3,25183,7.1,335
3,25183,7.69,335
3,25183,8.64,335
3,25183,6.314,335
3,25183,6.768,335
3,25183,4.828,335
3,25183,4.308,335
3,25183,0.714,335
4,25183,4.982,335
4,25183,5.73,335
4,25183,5.482,335
4,25183,5.226,335
4,25183,5.324,335
4,25183,1.86,335
4,25183,6.302,335
4,25183,4.764,335
4,25183,10.208,335
4,25183,5.184,335
4,25183,4.608,335
4,25183,4.9,335
4,25183,5.85,335
4,25183,6.676,335
4,25183,6.344,335
4,25183,3.436,335
4,25183,4.124,335
4,25183,8.302,335
4,25183,4.842,335
4,25183,7.444,335
5,25183,6.93,335
5,25183,5.69,335
5,25183,7.704,335
5,25183,5.134,335
5,25183,7.774,335
5,25183,8.06,335
5,25183,4.088,335
5,25183,5.938,335
5,25183,3.484,335
5,25183,6.176,335
5,25183,8.298,335
5,25183,6.074,335
5,25183,7.186,335
5,25183,5.38,335
5,25183,7.42,335
5,25183,6.86,335
5,25183,9.972,335
5,25183,6.96,335
5,25183,8.64,335
5,25183,1.488,335
1,25184,3.094,357
1,25184,3.99,357
1,25184,3.142,357
1,25184,1.238,357
1,25184,2.188,357
1,25184,1.518,357
1,25184,4.116,357
1,25184,3.952,357
1,25184,2.908,357
1,25184,3.012,357
1,25184,2.826,357
1,25184,0.9,357
1,25184,1.248,357
1,25184,2.382,357
1,25184,1.942,357
1,25184,1.184,357
1,25184,1.336,357
1,25184,1.006,357
1,25184,1.446,357
1,25184,0.958,357
2,25184,6.222,357
2,25184,5.642,357
2,25184,5.016,357
2,25184,6.008,357
2,25184,5.398,357
2,25184,4.772,357
2,25184,5.516,357
2,25184,4.572,357
2,25184,4.024,357
2,25184,4.982,357
2,25184,7.296,357
2,25184,4.262,357
2,25184,4.962,357
2,25184,5.928,357
2,25184,2.652,357
2,25184,3.07,357
2,25184,1.028,357
2,25184,2.706,357
2,25184,2.272,357
2,25184,1.186,357
3,25184,4.496,357
3,25184,1.312,357
3,25184,4.108,357
3,25184,3.212,357
3,25184,6.126,357
3,25184,4.052,357
3,25184,2.69,357
3,25184,1.49,357
3,25184,3.63,357
3,25184,3.508,357
3,25184,3.904,357
3,25184,1.512,357
3,25184,2.062,357
3,25184,2.9,357
3,25184,1.004,357
3,25184,2.41,357
3,25184,0.76,357
3,25184,2.05,357
3,25184,1.734,357
3,25184,1.104,357
4,25184,2.622,357
4,25184,2.43,357
4,25184,3.166,357
4,25184,8.31,357
4,25184,2.092,357
4,25184,4.454,357
4,25184,4.144,357
4,25184,4.2,357
4,25184,3.982,357
4,25184,3.328,357
4,25184,1.226,357
4,25184,4.402,357
4,25184,3.062,357
4,25184,2.528,357
4,25184,0.988,357
4,25184,1.458,357
4,25184,2.694,357
4,25184,2.484,357
4,25184,2.822,357
4,25184,0.98,357
5,25184,3.366,357
5,25184,0.816,357
5,25184,1.748,357
5,25184,2.202,357
5,25184,3.442,357
5,25184,3.704,357
5,25184,2.344,357
5,25184,3.532,357
5,25184,1.346,357
5,25184,1.834,357
5,25184,4.334,357
5,25184,2.982,357
5,25184,1.724,357
5,25184,2.428,357
5,25184,2.912,357
5,25184,3.202,357
5,25184,1.746,357
5,25184,2.316,357
5,25184,3.214,357
5,25184,1.012,357
1,25185,4.576,358
1,25185,7.516,358
1,25185,6.198,358
1,25185,6.74,358
1,25185,7.076,358
1,25185,5.722,358
1,25185,7.806,358
1,25185,9.318,358
1,25185,7.582,358
1,25185,6.264,358
1,25185,7.552,358
1,25185,4.414,358
1,25185,8.458,358
1,25185,5.14,358
1,25185,3.818,358
1,25185,3.55,358
1,25185,5.702,358
1,25185,6.61,358
1,25185,5.74,358
1,25185,1.068,358
2,25185,10.156,358
2,25185,7.194,358
2,25185,8.278,358
2,25185,5.094,358
2,25185,7.864,358
2,25185,10.042,358
2,25185,10.782,358
2,25185,9.988,358
2,25185,5.588,358
2,25185,2.998,358
2,25185,5.864,358
2,25185,8.134,358
2,25185,10.298,358
2,25185,9.664,358
2,25185,7.87,358
2,25185,7.676,358
2,25185,1.638,358
2,25185,8.092,358
2,25185,11.806,358
2,25185,9.632,358
3,25185,9.728,358
3,25185,8.254,358
3,25185,7.466,358
3,25185,8.62,358
3,25185,5.396,358
3,25185,6.972,358
3,25185,7.612,358
3,25185,7.564,358
3,25185,5.242,358
3,25185,6.172,358
3,25185,7.766,358
3,25185,7.608,358
3,25185,3.086,358
3,25185,7.42,358
3,25185,5.384,358
3,25185,4.508,358
3,25185,7.248,358
3,25185,8.3,358
3,25185,7.412,358
3,25185,2.8,358
4,25185,7.58,358
4,25185,8.63,358
4,25185,8.652,358
4,25185,4.952,358
4,25185,6.202,358
4,25185,6.03,358
4,25185,7.906,358
4,25185,4.904,358
4,25185,6.75,358
4,25185,7.216,358
4,25185,2.324,358
4,25185,5.402,358
4,25185,6.416,358
4,25185,5.512,358
4,25185,6.9,358
4,25185,8.062,358
4,25185,7.078,358
4,25185,5.442,358
4,25185,5.804,358
5,25185,6.052,358
5,25185,8.892,358
5,25185,5.828,358
5,25185,5.464,358
5,25185,6.876,358
5,25185,9.454,358
5,25185,5.652,358
5,25185,5.492,358
5,25185,5.848,358
5,25185,3.668,358
5,25185,7.988,358
5,25185,9.37,358
5,25185,8.058,358
5,25185,8.988,358
5,25185,4.646,358
5,25185,6.352,358
5,25185,5.032,358
5,25185,7.974,358
5,25185,8.93,358
5,25185,8.49,358
1,25186,8.404,360
1,25186,7.946,360
1,25186,6.764,360
1,25186,8.476,360
1,25186,5.044,360
1,25186,7.806,360
1,25186,4.218,360
1,25186,6.534,360
1,25186,3.882,360
1,25186,5.12,360
1,25186,8.526,360
1,25186,5.666,360
1,25186,4.132,360
1,25186,6.424,360
1,25186,4.688,360
1,25186,3.476,360
1,25186,5.582,360
1,25186,1.854,360
1,25186,1.944,360
1,25186,1.54,360
2,25186,7.88,360
2,25186,4.78,360
2,25186,10.078,360
2,25186,5.168,360
2,25186,8.076,360
2,25186,6.762,360
2,25186,3.654,360
2,25186,6.906,360
2,25186,8.938,360
2,25186,8.2,360
2,25186,4.818,360
2,25186,5.63,360
2,25186,3.292,360
2,25186,5.976,360
2,25186,7.862,360
2,25186,3.164,360
2,25186,8.334,360
2,25186,1.986,360
2,25186,2.156,360
2,25186,8.35,360
3,25186,9.34,360
3,25186,5.538,360
3,25186,7.596,360
3,25186,8.824,360
3,25186,5.68,360
3,25186,6.258,360
3,25186,7.708,360
3,25186,5.614,360
3,25186,4.406,360
3,25186,7.798,360
3,25186,5.334,360
3,25186,4.89,360
3,25186,6.314,360
3,25186,8.84,360
3,25186,5.03,360
3,25186,4.64,360
3,25186,4.57,360
3,25186,4.986,360
3,25186,6.442,360
3,25186,4.136,360
4,25186,6.174,360
4,25186,4.57,360
4,25186,5.87,360
4,25186,6.19,360
4,25186,7.48,360
4,25186,5.368,360
4,25186,3.258,360
4,25186,6.838,360
4,25186,7.854,360
4,25186,2.314,360
4,25186,9.82,360
4,25186,8.906,360
4,25186,5.908,360
4,25186,8.36,360
4,25186,1.672,360
4,25186,1.686,360
4,25186,4.778,360
4,25186,4.904,360
5,25186,9.71,360
5,25186,7.534,360
5,25186,5.778,360
5,25186,6.808,360
5,25186,7.472,360
5,25186,5.586,360
5,25186,7.644,360
5,25186,8.052,360
5,25186,8.118,360
5,25186,2.886,360
5,25186,4.736,360
5,25186,7.324,360
5,25186,7.208,360
5,25186,4.52,360
5,25186,6.226,360
5,25186,3.858,360
5,25186,10.312,360
5,25186,5.498,360
5,25186,3.384,360
5,25186,7.936,360
1,25187,1.438,362
1,25187,4.422,362
1,25187,4.034,362
1,25187,4.558,362
1,25187,3.856,362
1,25187,1.72,362
1,25187,6.108,362
1,25187,0.934,362
1,25187,4.034,362
1,25187,2.382,362
1,25187,1.824,362
1,25187,1.246,362
1,25187,2.116,362
1,25187,2.286,362
1,25187,3.356,362
1,25187,5.284,362
1,25187,1.194,362
1,25187,1.97,362
1,25187,5.646,362
1,25187,2.986,362
2,25187,2.746,362
2,25187,1.332,362
2,25187,3.72,362
2,25187,3.734,362
2,25187,2.33,362
2,25187,4.002,362
2,25187,2.492,362
2,25187,0.974,362
2,25187,4.34,362
2,25187,2.836,362
2,25187,0.892,362
2,25187,0.866,362
2,25187,2.91,362
2,25187,1.66,362
2,25187,1.888,362
2,25187,0.816,362
2,25187,0.97,362
2,25187,1.612,362
2,25187,0.84,362
2,25187,1.86,362
3,25187,4.352,362
3,25187,6.148,362
3,25187,3.888,362
3,25187,3.838,362
3,25187,0.904,362
3,25187,3.396,362
3,25187,2.02,362
3,25187,1.276,362
3,25187,1.27,362
3,25187,3.994,362
3,25187,3.17,362
3,25187,4.208,362
3,25187,3.996,362
3,25187,4.278,362
3,25187,1.058,362
3,25187,1.052,362
3,25187,1.142,362
3,25187,1.578,362
3,25187,2.928,362
3,25187,0.82,362
4,25187,4.884,362
4,25187,5.396,362
4,25187,3.21,362
4,25187,2.742,362
4,25187,2.594,362
4,25187,3.39,362
4,25187,2.718,362
4,25187,3.482,362
4,25187,5.01,362
4,25187,3.796,362
4,25187,3.738,362
4,25187,1.28,362
4,25187,1.842,362
4,25187,3.24,362
4,25187,2.22,362
4,25187,1.446,362
4,25187,1.928,362
